distance,consume,speed,trip_consumption,temp_inside,temp_outside,gas_type,ac,rain,sun,refill_liters,refill_gas,trip_number
12.5,4.0,51,0.5,20.0,13,SP98,0,0,0,0,None,3
12.4,4.7,43,0.58,22.0,10,SP98,0,0,0,0,None,3
11.8,5.9,21,0.7,20.0,9,SP98,1,1,0,0,None,3
11.8,5.3,52,0.63,22.0,11,SP98,0,0,0,0,None,3
12.5,4.2,57,0.52,20.0,11,SP98,0,0,0,0,None,3
15.7,5.3,33,0.83,22.0,9,SP98,0,0,0,0,None,3
12.9,5.7,35,0.74,22.0,9,SP98,0,0,0,0,None,3
6.4,4.4,37,0.28,22.0,10,SP98,0,0,0,0,None,3
5.3,4.1,34,0.22,22.0,9,SP98,0,0,0,0,None,3
26.2,5.8,71,1.52,21.0,8,SP98,1,1,0,0,None,3
18.8,5.0,62,0.94,22.0,9,SP98,0,1,0,0,None,3
4.9,6.9,25,0.34,21.0,12,SP98,0,1,0,0,None,3
12.4,5.4,18,0.67,21.0,11,SP98,1,1,0,0,None,3
22.9,5.3,45,1.21,20.5,7,SP98,0,0,0,0,None,3
162.7,5.5,75,8.95,23.0,1,SP98,0,0,0,45.0,SP98,4
4.9,6.5,26,0.32,21.0,1,SP98,0,0,0,0,None,4
11.8,4.7,36,0.55,21.0,4,SP98,0,0,0,0,None,4
16.6,5.1,56,0.85,21.0,7,SP98,0,0,0,0,None,4
12.4,5.7,37,0.71,21.0,7,SP98,0,0,0,0,None,4
15.9,5.4,25,0.86,21.0,7,SP98,0,0,0,0,None,4
5.1,8.7,21,0.44,23.5,5,SP98,0,0,0,0,None,4
22.4,4.9,66,1.1,20.5,7,SP98,0,0,0,0,None,4
31.1,4.7,42,1.46,20.5,7,SP98,0,0,0,0,None,4
4.9,6.3,27,0.31,20.5,3,SP98,0,0,0,0,None,4
11.8,5.1,26,0.6,23.0,4,SP98,0,1,0,0,None,4
22.9,6.0,42,1.37,23.0,4,SP98,0,1,0,0,None,4
12.4,4.6,38,0.57,23.0,1,SP98,0,1,0,0,None,4
12.9,5.8,40,0.75,23.0,4,SP98,0,0,0,0,None,4
11.8,5.1,43,0.6,23.0,0,SP98,0,0,0,0,None,4
12.2,5.8,58,0.71,23.0,2,SP98,0,0,0,0,None,4
24.8,4.6,55,1.14,23.0,3,SP98,0,0,0,0,None,4
14.2,5.6,24,0.8,23.0,8,SP98,0,0,0,0,None,4
11.8,4.6,38,0.54,23.0,0,SP98,0,1,0,0,None,4
12.2,6.3,57,0.77,23.0,0,SP98,0,1,0,0,None,4
24.7,5.5,56,1.36,25.0,1,SP98,0,0,0,0,None,4
6.8,4.3,46,0.29,24.0,2,SP98,0,0,0,0,None,4
17.3,5.6,37,0.97,21.5,1,SP98,0,0,0,0,None,4
11.8,4.3,44,0.51,21.5,-3,SP98,0,0,0,0,None,4
15.9,5.7,46,0.91,21.5,5,SP98,0,0,0,0,None,4
5.1,6.4,39,0.33,21.5,4,SP98,0,0,0,0,None,4
16.1,4.5,33,0.72,21.5,6,SP98,0,0,0,0,None,4
11.8,4.5,43,0.53,21.5,3,SP98,0,0,0,0,None,4
4.2,6.0,26,0.25,21.5,5,SP98,0,0,0,0,None,4
17.4,5.1,30,0.89,21.5,5,SP98,0,0,0,0,None,4
23.5,6.0,25,1.41,21.5,5,SP98,0,1,0,0,None,4
11.8,4.5,38,0.53,21.5,5,SP98,0,1,0,0,None,4
12.3,6.1,61,0.75,21.5,10,SP98,0,1,0,0,None,4
16.1,5.4,24,0.87,21.5,7,E10,0,1,0,38.0,E10,5
11.8,4.3,40,0.51,21.5,10,E10,0,1,0,0,None,5
12.3,5.4,58,0.66,21.5,13,E10,0,0,0,0,None,5
12.4,4.3,49,0.53,21.5,17,E10,0,0,0,0,None,5
7.0,5.2,25,0.36,21.5,17,E10,0,0,0,0,None,5
11.8,4.1,37,0.48,21.5,10,E10,0,0,0,0,None,5
20.1,4.4,41,0.88,21.5,18,E10,0,0,0,0,None,5
20.8,4.5,45,0.94,21.5,10,E10,0,0,0,0,None,5
1.7,10.8,14,0.18,21.5,10,E10,0,1,0,0,None,5
35.9,4.7,45,1.69,21.5,12,E10,0,0,0,0,None,5
36.9,4.8,52,1.77,21.5,5,E10,0,0,0,0,None,5
16.8,4.0,46,0.67,21.5,8,E10,0,0,0,0,None,5
9.9,5.0,28,0.5,21.5,9,E10,0,0,0,0,None,5
22.9,4.6,61,1.05,21.5,7,E10,0,1,0,0,None,5
17.3,5.0,61,0.86,21.5,6,E10,1,1,0,0,None,5
11.8,4.3,37,0.51,21.5,7,E10,0,0,0,0,None,5
36.6,5.2,80,1.9,21.5,7,E10,0,1,0,0,None,5
44.9,4.7,62,2.11,21.5,8,E10,0,0,0,0,None,5
11.8,4.2,34,0.5,21.5,9,E10,0,1,0,0,None,5
21.6,5.3,44,1.14,21.5,9,E10,0,1,0,0,None,5
39.4,5.3,60,2.09,21.5,9,E10,0,1,0,0,None,5
5.1,8.1,39,0.41,21.5,4,E10,0,0,0,0,None,5
26.6,4.8,38,1.28,21.5,7,E10,0,0,0,0,None,5
53.2,5.1,71,2.71,21.5,2,E10,0,0,0,0,None,5
18.9,4.4,53,0.83,21.5,2,E10,0,0,0,0,None,5
43.5,5.0,80,2.17,21.5,3,E10,0,0,0,0,None,5
6.1,6.3,26,0.38,21.5,5,E10,0,0,0,0,None,5
16.4,4.8,49,0.79,21.5,5,E10,0,0,0,0,None,5
12.3,6.1,40,0.75,21.5,6,E10,0,0,0,0,None,5
21.1,4.6,36,0.97,21.5,8,E10,0,0,0,0,None,5
21.1,4.8,43,1.01,21.5,7,E10,0,0,0,0,None,5
22.7,4.7,55,1.07,21.5,6,E10,0,0,0,0,None,5
44.4,4.8,38,2.13,21.5,8,E10,0,0,0,38.3,E10,6
35.8,4.4,51,1.58,21.5,6,E10,0,0,0,0,None,6
11.8,4.9,44,0.58,21.5,0,E10,0,0,0,0,None,6
26.2,4.9,42,1.28,21.5,6,E10,0,0,0,0,None,6
40.6,4.4,44,1.79,21.0,3,E10,0,0,0,0,None,6
12.4,5.3,38,0.66,21.0,-5,E10,0,0,0,0,None,6
14.1,5.3,47,0.75,21.0,-3,E10,0,0,0,0,None,6
58.7,4.8,75,2.82,21.0,0,E10,0,0,0,0,None,6
16.2,5.2,29,0.84,21.0,0,E10,0,0,0,0,None,6
12.3,4.9,50,0.6,22.5,0,E10,0,0,0,0,None,6
12.3,7.1,52,0.87,22.5,0,E10,1,1,0,0,None,6
12.4,5.2,51,0.64,22.5,1,E10,0,0,0,0,None,6
31.8,4.7,59,1.49,22.5,3,E10,0,0,0,0,None,6
12.3,5.1,55,0.63,22.5,8,E10,0,0,0,0,None,6
51.6,5.0,73,2.58,22.5,12,E10,0,0,0,0,None,6
38.6,4.6,44,1.78,22.5,10,E10,0,0,0,0,None,6
12.3,4.8,41,0.59,22.5,7,E10,0,0,0,0,None,6
81.2,4.4,69,3.57,22.0,13,E10,0,0,0,0,None,6
130.3,4.6,85,5.99,22.0,12,E10,0,0,0,0,None,6
67.2,4.3,67,2.89,22.0,18,E10,0,0,0,0,None,6
43.7,4.7,44,2.05,22.0,9,SP98,0,1,0,10.0,SP98,7
12.1,4.2,43,0.51,22.0,4,SP98,0,0,0,39.0,SP98,8
56.1,4.8,82,2.69,22.0,13,SP98,0,0,0,0,None,8
39.0,4.1,61,1.6,22.0,16,SP98,0,0,0,0,None,8
11.8,4.5,41,0.53,21.5,13,SP98,0,0,0,0,None,8
38.5,4.8,63,1.85,21.5,14,SP98,0,0,0,0,None,8
28.2,4.6,54,1.3,21.5,14,SP98,0,0,0,0,None,8
2.9,7.4,24,0.21,21.5,14,SP98,0,0,0,0,None,8
6.1,5.6,24,0.34,21.5,13,SP98,0,0,0,0,None,8
19.6,4.9,43,0.96,21.5,13,SP98,0,0,0,0,None,8
22.2,3.8,42,0.84,22.0,15,SP98,0,0,0,0,None,8
13.6,4.5,44,0.61,19.0,18,SP98,0,0,0,0,None,8
12.6,4.1,33,0.52,22.0,17,SP98,0,0,0,0,None,8
8.7,5.3,28,0.46,22.5,12,SP98,1,1,0,0,None,8
7.9,4.7,31,0.37,22.5,12,SP98,1,0,0,0,None,8
2.4,9.0,26,0.22,20.0,10,SP98,0,0,0,0,None,8
4.9,6.3,26,0.31,20.0,10,SP98,0,0,0,0,None,8
18.1,3.6,36,0.65,20.0,19,SP98,0,0,0,0,None,8
25.9,3.7,39,0.96,20.0,21,SP98,0,0,0,0,None,8
1.3,11.5,21,0.15,20.0,10,SP98,0,0,0,0,None,8
14.1,5.0,22,0.7,20.0,12,SP98,0,0,0,0,None,8
13.4,5.5,31,0.74,20.0,9,SP98,0,0,0,0,None,8
6.4,4.7,33,0.3,20.0,8,SP98,0,0,0,0,None,8
12.9,4.5,42,0.58,20.0,13,SP98,0,0,0,0,None,8
12.1,4.4,33,0.53,22.5,5,SP98,0,0,0,0,None,8
15.7,4.1,32,0.64,22.5,13,SP98,0,0,0,0,None,8
16.2,4.4,26,0.71,22.5,11,SP98,0,0,0,0,None,8
12.8,4.6,22,0.59,22.5,12,SP98,0,0,0,0,None,8
19.0,4.4,58,0.84,22.5,17,SP98,0,0,1,0,None,8
29.0,4.0,27,1.16,22.5,12,SP98,0,0,0,0,None,8
12.1,5.0,32,0.6,22.5,9,SP98,0,0,0,0,None,8
12.3,5.2,55,0.64,22.5,10,SP98,0,0,0,0,None,8
24.8,4.0,56,0.99,22.5,11,SP98,0,0,0,0,None,8
12.9,5.1,34,0.66,22.5,8,SP98,0,1,0,0,None,8
11.8,4.5,39,0.53,22.5,3,SP98,0,0,0,0,None,8
31.4,4.6,62,1.44,22.5,11,SP98,0,0,0,0,None,8
19.0,5.1,53,0.97,22.5,4,SP98,0,1,0,0,None,8
13.0,5.7,38,0.74,22.5,3,SP98,1,1,0,0,None,8
11.8,4.8,42,0.57,22.5,2,SP98,0,0,0,0,None,8
13.0,6.2,32,0.81,22.5,4,SP98,0,0,0,0,None,8
11.8,5.0,43,0.59,22.5,1,SP98,0,0,0,0,None,8
27.1,5.0,69,1.36,22.5,8,SP98,0,0,0,0,None,8
5.2,4.6,38,0.24,22.5,8,SP98,0,0,0,0,None,8
19.0,4.5,29,0.86,22.5,10,E10,0,0,0,39.0,E10,9
12.4,4.8,38,0.6,22.5,1,E10,0,0,0,0,None,9
25.2,5.0,55,1.26,22.5,9,E10,0,0,0,0,None,9
14.3,4.8,36,0.69,22.5,10,E10,0,0,0,0,None,9
11.8,4.6,40,0.54,22.5,2,E10,0,0,0,0,None,9
16.9,4.5,48,0.76,22.5,9,E10,0,0,1,0,None,9
12.4,4.6,55,0.57,22.5,11,E10,0,0,1,0,None,9
17.4,4.4,36,0.77,22.5,12,E10,0,0,1,0,None,9
9.2,5.7,33,0.52,22.5,8,E10,0,1,0,0,None,9
12.3,5.8,54,0.71,22.5,10,E10,0,1,0,0,None,9
13.0,5.9,32,0.77,22.5,10,E10,0,0,0,0,None,9
11.8,6.1,16,0.72,22.5,6,E10,0,1,0,0,None,9
13.0,5.7,37,0.74,22.5,11,E10,0,1,0,0,None,9
12.3,5.0,42,0.62,22.5,10,E10,0,0,0,0,None,9
12.3,5.2,57,0.64,22.5,15,E10,0,0,1,0,None,9
12.5,4.3,57,0.54,22.5,16,E10,0,0,1,0,None,9
31.5,4.1,30,1.29,22.5,16,E10,0,0,1,0,None,9
11.8,4.4,42,0.52,22.5,8,E10,0,0,0,0,None,9
24.9,4.5,53,1.12,22.5,14,E10,0,0,0,0,None,9
17.0,3.9,46,0.66,22.5,14,E10,0,0,1,0,None,9
2.0,8.1,20,0.16,22.5,14,E10,0,0,0,0,None,9
11.8,4.4,33,0.52,22.5,8,E10,0,0,0,0,None,9
7.4,5.0,31,0.37,22.5,12,E10,0,0,0,0,None,9
12.4,4.7,55,0.58,22.5,14,E10,0,0,1,0,None,9
2.0,6.0,22,0.12,22.5,14,E10,0,0,0,0,None,9
14.0,5.0,41,0.7,22.5,8,E10,0,0,0,0,None,9
25.7,5.0,45,1.28,22.5,7,E10,0,0,0,0,None,9
24.5,3.9,50,0.96,22.0,15,E10,0,0,1,0,None,9
11.8,4.5,28,0.53,22.5,12,E10,0,0,0,0,None,9
4.1,5.4,24,0.22,22.5,13,E10,0,0,0,0,None,9
4.2,5.6,29,0.24,22.0,17,E10,0,0,0,0,None,9
4.2,3.9,29,0.16,22.0,18,E10,0,0,1,0,None,9
16.0,4.0,40,0.64,22.0,10,E10,0,0,0,0,None,9
22.9,4.0,29,0.92,22.0,21,E10,0,0,0,0,None,9
16.0,3.8,42,0.61,22.0,8,E10,0,0,0,0,None,9
15.4,4.5,50,0.69,22.0,14,E10,0,0,0,0,None,9
16.0,3.8,41,0.61,22.0,12,E10,0,0,0,0,None,9
4.2,5.6,32,0.24,22.0,18,E10,0,0,0,0,None,9
101.9,5.2,75,5.3,22.0,18,E10,0,0,0,0,None,9
93.9,4.8,88,4.51,23.0,18,E10,1,0,1,0,None,9
25.7,4.9,50,1.26,22.0,10,SP98,0,1,0,41.0,SP98,10
16.0,4.1,40,0.66,22.0,10,SP98,0,0,0,0,None,10
16.1,4.5,32,0.72,22.0,19,SP98,0,0,0,0,None,10
16.0,4.4,40,0.7,22.0,7,SP98,1,1,0,0,None,10
16.0,4.5,41,0.72,22.0,11,SP98,0,0,0,0,None,10
24.7,4.5,26,1.11,22.0,10,SP98,0,0,0,0,None,10
16.0,3.9,42,0.62,22.0,8,SP98,0,0,0,0,None,10
15.4,4.6,43,0.71,22.0,16,SP98,0,0,0,0,None,10
16.0,3.8,40,0.61,22.0,8,SP98,0,0,0,0,None,10
32.1,4.5,50,1.44,22.0,16,SP98,0,0,0,0,None,10
25.9,4.4,40,1.14,22.0,14,SP98,0,0,0,0,None,10
48.6,4.3,44,2.09,22.0,12,SP98,0,0,0,0,None,10
37.2,4.0,45,1.49,22.0,20,SP98,0,0,1,0,None,10
28.8,3.9,35,1.12,22.0,15,SP98,0,0,1,0,None,10
6.7,5.0,30,0.34,22.0,17,SP98,0,0,0,0,None,10
7.4,4.1,25,0.3,22.0,18,SP98,0,0,1,0,None,10
17.3,4.1,22,0.71,22.0,25,SP98,0,0,1,0,None,10
6.6,5.6,43,0.37,22.0,16,SP98,0,0,0,0,None,10
14.3,4.1,26,0.59,22.0,20,SP98,0,0,0,0,None,10
13.3,4.6,33,0.61,22.0,18,SP98,0,0,0,0,None,10
8.3,4.9,26,0.41,22.0,23,SP98,0,0,0,0,None,10
12.7,4.5,39,0.57,22.0,27,SP98,0,0,1,0,None,10
16.5,4.1,47,0.68,22.0,14,SP98,0,0,0,0,None,10
20.6,4.1,38,0.84,22.0,21,SP98,0,0,0,0,None,10
16.3,4.5,58,0.73,22.0,16,SP98,0,0,0,0,None,10
18.7,4.2,65,0.79,25.0,18,SP98,1,0,1,0,None,10
36.5,3.9,54,1.42,23.0,18,SP98,0,0,1,0,None,10
19.0,5.0,35,0.95,22.0,15,SP98,1,0,1,0,None,10
16.6,4.4,46,0.73,22.0,5,SP98,1,0,0,0,None,10
29.9,4.5,32,1.35,22.0,18,SP98,1,0,0,0,None,10
16.0,3.8,42,0.61,22.0,11,SP98,0,0,0,0,None,10
21.1,5.1,33,1.08,22.0,10,SP98,0,1,0,0,None,10
16.0,3.9,40,0.62,22.0,10,SP98,0,0,0,0,None,10
11.9,5.3,34,0.63,22.0,13,SP98,0,0,0,0,None,10
10.1,4.2,35,0.42,22.0,16,SP98,0,0,0,0,None,10
31.9,4.3,33,1.37,22.0,16,SP98,0,0,0,0,None,10
18.7,4.0,60,0.75,22.0,13,SP98,0,0,0,0,None,10
10.8,4.7,48,0.51,22.0,17,SP98,0,0,1,0,None,10
19.8,4.0,56,0.79,22.0,17,SP98,0,0,1,0,None,10
11.3,4.3,38,0.49,22.0,17,SP98,0,0,0,37.0,SP98,11
11.5,5.3,53,0.61,22.0,15,SP98,0,0,0,0,None,11
21.4,5.2,51,1.11,22.0,13,SP98,0,0,0,0,None,11
32.0,4.9,53,1.57,22.0,15,SP98,0,0,0,0,None,11
41.9,4.7,53,1.97,22.0,14,SP98,0,0,0,0,None,11
211.0,4.6,80,9.71,22.0,20,SP98,0,0,0,0,None,11
216.1,5.3,90,11.45,22.0,21,SP98,0,0,1,0,None,11
25.5,3.6,27,0.92,22.0,27,SP98,0,0,1,0,None,11
16.6,4.2,52,0.7,22.0,15,SP98,0,1,0,0,None,11
25.9,4.1,43,1.06,22.0,24,SP98,0,0,0,0,None,11
16.5,4.0,48,0.66,22.0,15,SP98,0,0,0,0,None,11
22.1,3.9,29,0.86,22.0,26,SP98,0,0,0,0,None,11
16.6,3.7,49,0.61,22.0,17,E10,0,0,0,37.7,E10,12
15.4,4.5,43,0.69,22.0,24,E10,0,0,0,0,None,12
16.5,3.9,43,0.64,22.0,17,E10,0,0,0,0,None,12
15.4,5.1,21,0.79,22.0,24,E10,0,0,0,0,None,12
18.4,4.2,59,0.77,22.0,24,E10,0,0,0,0,None,12
39.5,4.2,58,1.66,22.0,25,E10,0,0,0,0,None,12
21.5,4.8,47,1.03,25.0,27,E10,1,0,1,0,None,12
4.8,4.7,26,0.23,25.0,18,E10,0,0,0,0,None,12
100.9,4.7,87,4.74,23.5,22,E10,0,0,0,0,None,12
129.7,4.6,58,5.97,24.0,21,E10,0,0,0,0,None,12
16.6,3.8,43,0.63,21.5,16,E10,0,0,0,0,None,12
15.4,4.2,50,0.65,21.5,21,E10,0,0,0,0,None,12
16.0,3.7,45,0.59,22.0,17,E10,0,0,0,0,None,12
16.0,4.2,41,0.67,22.0,15,E10,0,0,0,0,None,12
15.4,4.1,45,0.63,22.0,24,E10,0,0,0,0,None,12
16.0,4.0,43,0.64,22.0,16,E10,0,0,0,0,None,12
21.0,3.8,37,0.8,22.0,21,E10,0,0,0,0,None,12
15.4,3.8,47,0.59,22.0,24,E10,0,0,0,0,None,12
16.0,3.8,42,0.61,22.0,17,E10,0,0,0,0,None,12
16.1,5.1,30,0.82,25.0,16,E10,1,1,0,0,None,12
16.0,4.0,42,0.64,22.0,15,E10,0,0,0,0,None,12
15.4,4.8,40,0.74,22.0,18,E10,0,0,0,0,None,12
17.2,3.9,35,0.67,22.0,16,E10,0,0,0,0,None,12
16.6,4.6,50,0.76,22.0,25,E10,0,0,0,0,None,12
18.3,4.3,46,0.79,22.0,16,SP98,0,0,0,37.2,SP98,13
16.1,4.8,36,0.77,22.0,18,SP98,0,1,0,0,None,13
16.0,4.1,46,0.66,22.0,17,SP98,0,0,0,0,None,13
16.3,4.0,35,0.65,22.0,23,SP98,0,0,0,0,None,13
16.0,3.7,44,0.59,22.0,16,SP98,0,0,0,0,None,13
18.3,4.3,46,0.79,22.0,23,SP98,0,0,0,0,None,13
4.5,5.2,23,0.23,22.0,23,SP98,0,0,1,0,None,13
17.0,4.2,48,0.71,22.0,16,SP98,0,0,0,0,None,13
6.1,5.0,35,0.3,24.5,18,SP98,0,0,0,0,None,13
6.1,5.0,33,0.3,22.0,24,SP98,0,0,1,0,None,13
17.3,4.2,36,0.73,22.0,22,SP98,0,0,0,0,None,13
6.0,4.8,27,0.29,22.0,17,SP98,0,0,0,0,None,13
16.0,4.1,45,0.66,22.0,15,SP98,0,0,0,0,None,13
15.4,4.9,55,0.75,22.0,18,SP98,0,0,0,0,None,13
15.4,4.3,39,0.66,22.0,23,SP98,0,0,0,0,None,13
16.0,3.9,35,0.62,22.0,18,SP98,0,0,0,0,None,13
15.4,4.5,52,0.69,22.0,26,SP98,0,0,0,0,None,13
16.6,4.1,48,0.68,25.5,30,SP98,1,0,1,0,None,13
15.4,5.0,48,0.77,25.5,31,SP98,1,0,0,0,None,13
16.0,4.0,43,0.64,22.0,21,SP98,1,0,0,0,None,13
15.4,4.5,42,0.69,22.0,30,SP98,0,0,0,0,None,13
16.0,3.6,43,0.58,22.0,19,SP98,0,0,0,0,None,13
20.9,4.1,33,0.86,22.0,21,SP98,0,0,0,0,None,13
32.1,3.9,47,1.25,22.0,26,SP98,0,0,0,0,None,13
15.3,6.6,16,1.01,24.0,27,SP98,1,0,0,0,None,13
28.5,4.0,44,1.14,25.0,23,SP98,1,0,0,0,None,13
11.9,3.7,33,0.44,25.0,19,SP98,0,0,0,0,None,13
14.5,4.3,36,0.62,25.0,22,SP98,0,0,0,0,None,13
16.6,4.1,49,0.68,22.0,26,SP98,0,0,1,0,None,13
16.2,4.4,39,0.71,24.5,17,SP98,1,0,0,0,None,13
16.7,3.8,44,0.63,24.5,23,SP98,0,0,1,0,None,13
8.3,5.0,52,0.42,24.5,27,SP98,0,0,0,0,None,13
5.5,3.7,33,0.2,24.5,28,SP98,0,0,1,0,None,13
13.6,3.7,33,0.5,24.5,28,SP98,0,0,1,0,None,13
16.0,3.7,39,0.59,24.5,18,SP98,0,0,0,0,None,13
16.1,4.3,38,0.69,25.0,31,SP98,1,0,0,0,None,13
16.0,3.8,45,0.61,25.0,19,SP98,0,0,0,0,None,13
15.4,4.6,42,0.71,25.0,31,SP98,1,0,0,0,None,13
14.7,5.0,25,0.74,25.0,30,SP98,1,0,0,0,None,13
